"Package"
"blogdown"
"bookdown"
"data.table"
"dbplyr"
"devtools"
"digest"
"ggthemes"
"htmlTable"
"knitcitations"
"knitr"
"lme4"
"odbc"
"packrat"
"pacman"
"plyr"
"radix"
"RColorBrewer"
"Rcpp"
"reticulate"
"rmarkdown"
"scales"
"testthat"
"tidyverse"
"xtable"
